"Date","Time","Price","Volume"
2019/6/30,1:37:17,11839.20000000,0
2019/6/30,1:37:18,11839.20000000,0
2019/6/30,1:37:26,11836.50000000,0
2019/6/30,1:37:29,11836.50000000,0
2019/6/30,1:37:31,11836.50000000,0
2020/10/10,16:15:41,11364.20000000,0
2020/10/10,16:15:42,11364.20000000,0
2020/10/10,16:15:42,11364.20000000,0
2020/10/10,16:15:42,11364.20000000,0
2020/10/10,16:15:44,11364.20000000,0
2020/10/10,16:15:45,11364.20000000,0
2020/10/10,16:15:46,11364.30000000,0
2020/10/10,16:15:47,11364.20000000,0
2020/10/10,16:15:47,11364.20000000,0
2020/10/10,16:15:47,11364.30000000,0
2020/10/10,16:15:48,11364.20000000,0
2020/10/10,16:15:48,11364.30000000,0
2020/10/10,16:15:49,11364.20000000,0
2020/10/10,16:15:49,11364.20000000,0
2020/10/10,16:15:50,11364.30000000,0
2020/10/10,16:15:50,11364.30000000,0
2020/10/10,16:15:50,11364.20000000,0
2020/10/10,16:15:50,11364.20000000,0
2020/10/10,16:15:52,11364.20000000,0
2020/10/10,16:15:52,11364.20000000,0
2020/10/10,16:15:52,11364.20000000,0
2020/10/10,16:15:53,11364.20000000,0
2020/10/10,16:15:53,11364.20000000,0
2020/10/10,16:15:53,11364.30000000,0
2020/10/10,16:15:54,11364.20000000,0
2020/10/10,16:15:54,11366.80000000,0
2020/10/10,16:15:55,11366.80000000,0
2020/10/10,16:15:56,11366.80000000,0
2020/10/10,16:15:57,11366.80000000,0
2020/10/10,16:15:57,11366.80000000,0
2020/10/10,16:15:58,11366.80000000,0
2020/10/10,16:15:59,11366.80000000,0
2020/10/10,16:15:59,11366.80000000,0
2020/10/10,16:15:59,11366.80000000,0
2020/10/10,16:15:59,11366.80000000,0
2020/10/10,16:16:0,11366.80000000,0
2020/10/10,16:16:0,11366.80000000,0
2020/10/10,16:16:1,11366.80000000,0
2020/10/10,16:16:2,11366.60000000,0
2020/10/10,16:16:2,11366.60000000,0
2020/10/10,16:16:3,11366.60000000,0
2020/10/10,16:16:3,11366.70000000,0
2020/10/10,16:16:3,11366.60000000,0
2020/10/10,16:16:4,11366.60000000,0
2020/10/10,16:16:6,11366.70000000,0
2020/10/10,16:16:6,11366.70000000,0
2020/10/10,16:16:6,11366.60000000,0
2020/10/10,16:16:6,11366.70000000,0
2020/10/10,16:16:7,11366.60000000,0
2020/10/10,16:16:7,11366.70000000,0
2020/10/10,16:16:8,11366.60000000,0
2020/10/10,16:16:9,11366.60000000,0
2020/10/10,16:16:9,11366.60000000,0
2020/10/10,16:16:10,11366.60000000,0
2020/10/10,16:16:10,11366.60000000,0
2020/10/10,16:16:10,11366.60000000,0
2020/10/10,16:16:11,11366.60000000,0
2020/10/10,16:16:11,11366.60000000,0
2020/10/10,16:16:12,11366.60000000,0
2020/10/10,16:16:12,11366.60000000,0
2020/10/10,16:16:13,11366.60000000,0
2020/10/10,16:16:13,11366.60000000,0
2020/10/10,16:16:13,11366.70000000,0
2020/10/10,16:16:14,11366.60000000,0
2020/10/10,16:16:14,11366.60000000,0
2020/10/10,16:16:15,11366.70000000,0
2020/10/10,16:16:15,11366.60000000,0
2020/10/10,16:16:16,11366.80000000,0
2020/10/10,16:16:16,11366.70000000,0
2020/10/10,16:16:17,11366.70000000,0
2020/10/10,16:16:17,11366.80000000,0
2020/10/10,16:16:19,11366.70000000,0
2020/10/10,16:16:19,11366.70000000,0
2020/10/10,16:16:19,11366.80000000,0
2020/10/10,16:16:19,11366.70000000,0
2020/10/10,16:16:19,11366.70000000,0
2020/10/10,16:16:21,11366.80000000,0
2020/10/10,16:16:21,11366.80000000,0
2020/10/10,16:16:22,11366.70000000,0
2020/10/10,16:16:22,11366.70000000,0
2020/10/10,16:16:22,11366.70000000,0
2020/10/10,16:16:23,11366.80000000,0
2020/10/10,16:16:23,11366.70000000,0
2020/10/10,16:16:25,11366.80000000,0
2020/10/10,16:16:25,11366.80000000,0
2020/10/10,16:16:26,11366.70000000,0
2020/10/10,16:16:26,11366.70000000,0
2020/10/10,16:16:26,11366.80000000,0
2020/10/10,16:16:27,11366.90000000,0
2020/10/10,16:16:28,11366.80000000,0
2020/10/10,16:16:28,11366.80000000,0
2020/10/10,16:16:28,11366.80000000,0
2020/10/10,16:16:29,11366.90000000,0
2020/10/10,16:16:29,11366.80000000,0
2020/10/10,16:16:29,11366.90000000,0
2020/10/10,16:16:30,11366.80000000,0
2020/10/10,16:16:31,11366.90000000,0
2020/10/10,16:16:32,11366.90000000,0
2020/10/10,16:16:33,11366.90000000,0
2020/10/10,16:16:33,11368.90000000,0
2020/10/10,16:16:34,11368.30000000,0
2020/10/10,16:16:34,11368.90000000,0
2020/10/10,16:16:34,11369.80000000,0
2020/10/10,16:16:35,11368.90000000,0
2020/10/10,16:16:35,11370.00000000,0
2020/10/10,16:16:35,11369.80000000,0
2020/10/10,16:16:36,11370.70000000,0
